zone_name,n,baseline_mae,railcast_mae,simulator_mae,baseline_p90,railcast_p90,coverage_pct,width_min,improvement_pct
BRC-ST,6520.0,39.5451725389928,12.575659897717266,13.045104318326247,111.44982031094692,30.834302969123932,81.79447852760737,37.98852111849936,68.19925394100312
KOTA-RTM,17192.0,27.162177044321353,10.18813209079136,9.656409769573296,71.61464104194238,20.983433416481624,78.68194509073987,30.267210310051066,62.49147454503712
NDLS-KOTA,22013.0,52.91390538424343,19.16460911892356,19.639616823175153,153.3408099644878,55.68768040239124,79.12142824694499,50.687284651608934,63.7815258961582
RTM-BRC,14907.0,30.900620306344933,11.367419135929781,10.631958513406481,101.02252748075772,24.240278053696645,76.33997450862012,31.658616446576566,63.21297429231325
ST-BCT,12799.0,31.825530679465395,11.447577865332192,11.458937637178735,88.46328105416247,28.00073686479982,79.50621142276741,31.15647197531757,64.03020587267552
