tod,n,baseline_mae,railcast_mae,simulator_mae,baseline_p90,railcast_p90,coverage_pct,width_min,improvement_pct
00-06,54691.0,18.541644049342104,8.422864867478845,11.752686220792352,53.35194982241569,21.62583849010889,82.27679142820574,27.569676119086928,54.57325766224217
06-12,58311.0,21.065260876457494,8.828112676203244,11.295127121559409,59.640662646440205,23.4761200181988,80.57141877175833,26.04000721463576,58.0916052833244
12-18,48576.0,19.799980597859793,8.142067713871544,11.2947704132048,55.07615773801672,21.46738974985044,80.26597496706192,24.83127542860089,58.87840559423765
18-24,35894.0,17.619660300663774,8.701376233133212,12.723773016053105,48.97283835838536,22.292907796495598,82.58761910068534,28.934114337997833,50.61552785552051
