,gain_pct
pad_remaining,11.627011537183968
hops,8.10173775868202
conflict_pred_min,7.417659830422011
dist_remaining_km,6.595150877511995
tsr_sections,6.250553267649614
delay_momentum,6.154116661277534
dow,6.009737325703585
cur_delay,5.992842229479356
ahead_delay,5.884378907989897
month,5.158709475126344
free_run_min,5.113881741949816
hour,4.896105906171339
trains_near,4.1780409740088285
sched_lead,4.090774554939712
rules_lead,3.51322207144411
zone,2.5149655424523845
weather_fc,2.3154799902414283
up,1.1896981684322696
unsched_stops,1.0133013640719362
klass,0.8198375663938726
priority,0.6104300138139219
started,0.47525199585378153
max_speed,0.07711223920027545
